	15:32	健康・医療戦略推進本部会議に出席（～１５：４６）	
	15:57	北村国家安全保障局長、和泉洋人総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官が入る	
	16:16	和泉総理大臣補佐官、今井総理大臣補佐官が出る	
	16:17	外務省の秋葉事務次官が出る	
	16:18	北村国家安全保障局長が出る	
	16:33	大阪府の吉村洋文知事から新型コロナウイルス感染症への対応に関する要望書を受け取る　菅官房長官が同席（～１６：５５）	
	16:56	菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦総務審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、水嶋智鉄道局長、気象庁の関田康雄長官、環境省の山本昌宏環境再生・資源循環局長、防衛省の菅原隆拓統合幕僚監部総括官と面会（～１７：２１）	
	17:22	日本医師会の横倉義武前会長と面会（～１７：４０）	
	17:45	加藤厚生労働大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監が入る	
	17:48	西村経済再生担当大臣が加わる	
	18:03	加藤厚生労働大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、外務省の秋葉事務次官が出る	
	18:08	西村経済再生担当大臣、新型コロナウイルス感染症対策推進室の樽見室長、厚生労働省の鈴木医務技監が出る	
	18:22	西村経済再生担当大臣と面会（～１８：２８）	
	18:59	報道各社のインタビュー	
	19:00	官邸発	
	19:13	東京・富ヶ谷の私邸着
7/13	7:11	東京・富ヶ谷の私邸発	
7/13	7:37	羽田空港着	
7/13	8:03	航空自衛隊のＣ２輸送機で羽田空港発、武田防災担当大臣、自衛隊の山崎幸二統合幕僚長が同行	
7/13	9:40	鹿児島空港着	
7/13	9:50	鹿児島空港発	
7/13	10:22	鹿児島県湧水町の九州自動車道吉松パーキングエリア着、休憩	
7/13	10:29	鹿児島県湧水町の九州自動車道吉松パーキングエリア発	
7/13	11:12	熊本県球磨村の豪雨の被災現場着、熊本県の蒲島知事、松谷村長らが出迎え、徒歩で視察、特別養護老人ホーム「千寿園」で犠牲者に黙とう	
7/13	11:35	特別養護老人ホーム「千寿園」発	
7/13	11:42	球磨村総合運動公園着、蒲島知事、松谷村長と意見交換	
7/13	12:02	球磨村総合運動公園発	
7/13	12:22	熊本県人吉市の市立第１中学校着、避難所を視察	
7/13	12:47	熊本県人吉市の市立第１中学校発	
7/13	12:56	熊本県人吉市の体育施設「人吉スポーツパレス」着、避難所を視察	
7/13	13:27	熊本県人吉市の体育施設「人吉スポーツパレス」発	
7/13	13:29	熊本県の人吉市役所着、蒲島知事、松岡市長らと意見交換	
