5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
5/20	17:30	瀧澤内閣情報官、外務省の山田総合外交政策局長、防衛省の槌道防衛政策局長、自衛隊の山崎統合幕僚長が出た
5/20	17:36	北村国家安全保障局長が出た
5/20	18:02	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:25）
5/20	18:26	加藤厚生労働大臣、西村経済再生担当大臣と面会（～18:32）
5/20	18:33	西村経済再生担当大臣と面会（～18:39）
5/20	19:28	官邸発
5/20	19:43	東京・富ヶ谷の私邸着
5/19	9:39	私邸発
	9:51	官邸着
	10:15	ペルーのビスカラ大統領と電話会談（～10:35）
	15:43	国家戦略特区諮問会議に出席（～16:16）
	16:26	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、内閣衛星情報センターの宮川正所長と面会（～16:57）
	17:02	国と地方の協議の場に出席（～17:51）
	17:56	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、消防庁の林崎理長官、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:33）
	18:34	西村経済再生担当大臣と面会（～18:37）
	19:33	官邸発
	19:45	私邸着
5/18	9:42	東京・富ヶ谷の私邸発
	9:54	官邸着
	10:56	自民党憲法改正推進本部の高村正彦最高顧問と面会（～１１：３１）
	11:32	自民党の下村選挙対策委員長と面会（～１１：５０）
	13:58	麻生副総理兼財務大臣と面会（～１４：２３）
	14:44	自民党の二階幹事長、林幹事長代理と面会　検察庁法の改正案について、いまの国会での成立を事実上、見送る方針で一致（～１５：０６）
	15:20	文部科学省の藤原誠事務次官と面会（～１５：２５）
	15:51	全国医学部長病院長会議新型コロナウイルス感染症に関わる課題対応委員会の嘉山孝正委員長、日本医師会の横倉義武会長らと面会　新型コロナウイルスの感染拡大で全国の大学病院で、集中治療室を確保するため手術件数を制限するなどの対策をとった結果、病院側の財政が急速に悪化していることを受けて、必要な財政支援を行う考えを示す(～16:27)
	16:28	茂木外務大臣と面会（～１６：５７）
	16:58	官邸発
	17:00	国会着
	17:01	自民党総裁室に入る
	17:03	自民党役員会に出席　新型コロナウイルスの感染拡大の影響で、生活が厳しい学生らを対象に最大２０万円を給付する支援策について、あすの閣議で決定する考えを示す（～１７：１８）
	17:19	自民党総裁室を出る
	17:20	国会発
	17:21	官邸着
	17:46	加藤厚生労働大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入る
	17:47	西村経済再生担当大臣が加わる
	18:02	全員出る
	18:45	報道各社のインタビュー　検察庁法の改正案のいまの国会での成立を見送ることを受けて、安倍総理大臣が、「国民からのさまざまな批判にしっかりとこたえていくことが大切だ」と述べた上で、国民の理解を得るため、法案の内容を丁寧に説明していく考えを示す
	18:48	官邸発
	19:03	私邸着

5/17	午前中	来客なく、東京・富ヶ谷の私邸で過ごす
5/17	15:39	私邸発
	15:49	官邸着
	16:05	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:33）
	16:34	そのまま菅官房長官、加藤厚生労働大臣、厚生労働省の鈴木医務技監と面会
	16:56	そのまま菅官房長官と面会（～17:01）
	17:09	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉事務次官と面会（～17:12）
	17:15	官邸発
	17:32	私邸着　来客なし
5/16	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす
5/16	15:43	私邸発
5/16	15:52	官邸着
5/16	16:03	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:15）
5/16	16:15	北村国家安全保障局長と面会（～16:20）
5/16	16:36	官邸発
5/16	16:46	東京・渋谷区の美容室「ＨＡＩＲ　ＧＵＥＳＴ」着　散髪
5/16	18:32	美容室発
5/16	18:42	私邸着
5/15	8:31	東京・富ヶ谷の私邸発
5/15	8:40	官邸着
5/15	8:48	岡田直樹官房副長官と面会（～9:16）
5/15	9:53	官邸発
5/15	9:55	国会着
5/15	9:56	参議院議長応接室に入る
5/15	9:57	参議院議長応接室を出て、参議院本会議場に入る
5/15	10:01	参議院本会議が開会
5/15	11:35	参議院本会議を途中退席
5/15	11:36	国会発
5/15	11:41	官邸着
5/15	11:45	国連アフガニスタン支援団の山本忠通元事務総長特別代表と面会、山田重夫外務省総合外交政策局長が同席（～11:59）
5/15	14:00	西村経済再生担当大臣、内閣府の山崎重孝事務次官、田和宏内閣府審議官、多田明弘政策統括官、井上裕之政策統括官と面会（～14:34）
5/15	14:37	北村滋国家安全保障局長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会
5/15	14:51	厚生労働省の鈴木医務技監が出て、今井尚哉総理大臣補佐官が加わる
5/15	15:00	今井総理大臣補佐官と外務省の秋葉事務次官が出る
5/15	15:05	北村国家安全保障局長が出る
5/15	15:14	防衛省の髙橋憲一事務次官と面会（～14:19）
5/15	15:27	高鳥修一自民党総裁特別補佐と面会（～16:12）
5/15	16:16	瀧澤裕昭内閣情報官と面会（～16:40）
5/15	16:41	菅官房長官、西村経済再生担当相、岡田官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監と面会
5/15	16:46	加藤厚生労働大臣が加わる
5/15	16:59	全員出た
5/15	17:16	経済財政諮問会議に出席（～18:05）
5/15	19:13	官邸発
5/15	19:19	東京・港区にある、ジャーナリストの櫻井よしこ氏の事務所着
5/15	19:25	事務所内で、インターネット番組「櫻LIVE　君の一歩が朝（あした）を変える！」の収録（～20:25）
5/15	20:32	事務所発
5/15	20:50	東京・富ヶ谷の私邸着

5/14	9:42	私邸発
	9:54	官邸着
	9:56	拉致問題対策本部の石川正一郎事務局長と面会（～10:26）
	14:28	官邸発
	14:29	国会着
	14:30	自民党総裁室に入る
	14:33	自民党役員会に出席（～14:58）
	14:59	自民党総裁室を出る
	15:00	国会発
	15:02	官邸着
	16:01	菅官房長官、加藤厚生労働大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:17）
	16:42	未来投資会議に出席（～17:12）
	18:01	記者会見（～19:02）
	19:17	新型コロナウイルス感染症対策本部に出席（～19:33）
	20:22	官邸発
	20:34	私邸着

5/13	9:52	公邸発
	9:53	官邸着
	11:25	河村建夫元官房長官と面会
	11:41	自民党の山口俊一議員、片山さつき議員が加わる（～11:55）
	11:56	渋谷和久駐チリ大使、加藤正明駐ブルキナファソ大使、森本康敬駐ソロモン大使の新任あいさつ（～12:11）
	15:01	日本維新の会の片山共同代表らと面会し、新型コロナウイルス対策についての提言を受ける（～15:32）
	15:54	菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症来策推進室の樽見英樹室長、厚生労働省の鈴木康裕医務技監と面会
	16:25	菅官房長官が出る
	16:35	全員出る
	16:56	北村滋国家安全保障局長、今井総理大臣補佐官、外務省の秋葉剛男事務次官と面会（～17:11）
	17:12	北村国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、山崎幸二統合幕僚長と面会（～17:25）
	17:26	西村経済再生担当大臣、経済産業省の新原浩朗経済産業政策局長と面会（～18:01）
	18:02	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川栄一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監（～18:19）
	19:47	官邸発
	20:00	東京・富ヶ谷の私邸着　その後来客なし
	9:41	私邸発
	9:53	官邸着
	10:17	西村明宏官房副長官と面会(～11:12)
	12:54	官邸発
	12:56	国会着
	12:57	衆議院本会議場に入る
	13:02	衆議院本会議が開会
	14:47	衆議院本会議が散開し、衆議院本会議を出る
	14:48	国会発
	14:49	官邸着
	15:17	防衛省の高橋憲一事務次官、島田和久官房長と面会(～15:31)
	15:32	前田哲官房副長官補、瀧澤裕昭内閣情報官が入る
	15:45	前田官房副長官補が出る
	15:50	瀧澤内閣情報官が出る
	16:00	ルクセンブルクのベッテル首相と電話会談(～16:20)
	16:42	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田直樹官房副長官、杉田和博官房副長官、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入る
	16:52	北村滋国家安全保障局長が加わる
	17:20	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監が出る
	17:25	北村国家安全保障局長が出る
	18:49	官邸発
	18:50	公邸着
5/11	7:01	東京・富ヶ谷の私邸発
5/11	7:11	官邸着
5/11	7:18	西村官房副長官と打ち合わせ（～8:15）
5/11	8:16	岡田官房副長官と打ち合わせ（～8:38）
5/11	8:47	官邸発
5/11	8:49	国会着
5/11	8:51	衆議院第１委員室に入る
5/11	8:59	衆議院予算委員会が開会
5/11	12:04	衆議院予算委員会が散会になり、第１委員室を出る
5/11	12:06	国会発
5/11	12:07	官邸着
5/11	12:52	官邸発
5/11	12:54	国会着
5/11	12:55	参議院第１委員会室に入る
5/11	13:00	参議院予算委員会が開会
5/11	16:09	参議院予算委員会が散会
5/11	16:10	参議院第１委員会室を出る
5/11	16:11	国会発
5/11	16:14	官邸着
5/11	16:57	官邸発
5/11	16:58	国会着
5/11	16:59	院内総裁室に入る
5/11	17:03	自民党役員会に出席（～17:35）
5/11	17:35	院内総裁室を出る
5/11	17:36	国会発
5/11	17:39	官邸着
