3/17	12:04	学校長応接室で岩屋防衛大臣、国分良成校長らと昼食（～12:34）	
3/17	12:41	記念講堂で任命・宣誓式に出席（～12:53）	
3/17	13:01	陸上自衛隊のヘリコプターで防衛大学校発	
3/17	13:16	官邸着	
3/17	13:21	官邸発	
3/17	13:35	私邸着
3/16	10:55	東京・富ヶ谷の私邸発	
3/16	11:13	東京・丸の内の「パレスホテル東京」着 ホテル内の宴会場「葵」で、自民党の萩生田光一幹事長代行の長女の結婚披露宴に出席	
3/16	13:59	「パレスホテル東京」発	
3/16	14:18	私邸着	
3/16	14:59	東京オリンピック・パラリンピック組織委員会の森喜朗会長と面会（～15:50） 
3/15	7:52	公邸発	
3/15	7:53	官邸着	
3/15	7:59	閣議（～8:15）	
3/15	14:45	三井不動産の岩沙弘道会長と面会（～14:55）	
3/15	14:55	拉致問題対策本部の石川正一郎事務局長と面会（～15:49）	
3/15	15:50	大阪府知事と大阪市長のダブル選挙で、自民党が市長選挙に擁立する元大阪市議会議員の柳本顕氏や自民党大阪府連の左藤章会長らと面会（～15:56）	
3/15	15:57	官邸発	
3/15	16:00	自民党本部着 島根県知事選挙の立候補予定者に推薦書を手渡す	
3/15	16:20	自民党の萩生田光一幹事長代行と会話（～16:22）	
3/15	16:23	自民党本部発	
3/15	16:27	官邸着	
3/15	16:28	４階特別応接室で「クレディスイスアジアインベストメントカンファレンス」に向けたビデオメッセージを収録（～16:33）	
3/15	16:45	和泉洋人総理大臣補佐官、北村滋内閣情報官と面会（～16:56）	
3/15	16:56	和泉総理大臣補佐官が出て、北村内閣情報官と面会（～17:22）	
3/15	17:50	官邸発	
3/15	18:00	東京・千代田区の「パレスホテル東京」着 ホテル内の宴会場「葵」で「日本医師会　赤ひげ大賞」のレセプションに出席し、あいさつ	
3/15	18:07	「パレスホテル東京」発	
3/15	18:12	東京・大手町の経団連会館着 Ｂ２０東京サミットの閉会セッションに出席し、あいさつ	
3/15	18:36	経団連会館発	
3/15	18:54	東京・港区の「ホテルオークラ」着 ホテル内日本料理店「山里」で日本テレビの大久保好男社長、粕谷賢之報道局解説委員長と会食	夕食
3/15	21:23	「ホテルオークラ」発	
3/15	21:40	東京・富ヶ谷の私邸着
3/14	7:53	東京・富ヶ谷の私邸発	
3/14	8:07	官邸着	
3/14	8:13	野上官房副長官と面会（～8:46）	
3/14	8:48	官邸発	
3/14	8:50	国会着	
3/14	8:52	参議院第１委員会室に入る	
3/14	8:57	参議院予算委員会が開会	
3/14	12:00	参議院予算委員会が散会	
3/14	12:01	参議院第１委員会室を出る	
3/14	12:02	国会発	
3/14	12:05	公邸着　安倍総理大臣が主催する各国の女性駐日大使らと昼食会	昼食
3/14	13:23	今月２０日に東京・銀座で開かれる夕刊フジ主催の「日本国憲法のあり方を考えるシンポジウム２」に向けたビデオメッセージを収録（～13:33）	
3/14	13:34	公邸発	
3/14	13:35	官邸着	
3/14	14:09	外務省の秋葉剛男事務次官、森健良外務審議官と面会（～14:29）	
3/14	15:42	北方領土をテーマにした弁論大会で入賞した北海道の高校生２人と面会　元島民のふるさとに対する思いを国民が共有し、北方領土問題の解決に向けた機運を醸成することが重要だという認識を示す　宮腰沖縄・北方担当大臣が同席（～15:52）	
3/14	16:37	谷内正太郎国家安全保障局長、外務省の鈴木哲総合外交政策局長、防衛省の槌道明宏防衛政策局長、自衛隊の河野克俊統合幕僚長と面会（～17:02）	
3/14	17:03	自民党大阪府連の左藤章会長、大阪府知事選挙の立候補予定者らと面会（～17:22）	
3/14	18:22	欧州大使会議出席者による表敬を受ける （～18:37）	
3/14	18:40	官邸発	
3/14	18:41	"公邸着　サントリーホールディングスの佐治信忠会長、大林組の大林剛郎会長、東映グループの岡田裕介会長ら経済界の11人と会食（～20:39） そのまま宿泊	夕食"
3/13	8:05	東京・富ヶ谷の私邸発
3/13	8:20	官邸着
3/13	8:26	野上官房副長官と打ち合わせ（～9:37）
3/13	9:54	官邸発
3/13	9:55	国会着
3/13	9:57	参議院議長応接室に入る
3/13	9:58	参議院議長応接室を出て、参議院本会議場に入る
3/13	10:01	参議院本会議が開会
3/13	12:12	参議院本会議が散会
3/13	12:13	参議院本会議場を出る
3/13	12:14	国会発
3/13	12:17	官邸着
3/13	12:49	官邸発
3/13	12:51	国会着
3/13	12:52	参議院第１委員会室に入る
3/13	12:55	参議院予算委員会が開会
3/13	17:02	参議院予算委員会が散会
3/13	17:03	参議院第１委員会室を出る
3/13	17:05	国会発
3/13	17:07	官邸着
3/13	17:18	ふるさとづくり大賞・ふるさとイベント大賞の表彰式に出席（～17:33）
3/13	17:58	官邸発
3/13	18:08	東京・港区の「東京プリンスホテル」着
3/13	18:10	ホテル内の宴会場「鳳凰の間」で、自民党竹下派のパーティーに出席し、あいさつ（～18:15）
3/13	18:18	「東京プリンスホテル」発
3/13	18:27	東京・銀座の日本料理店「東京吉兆　本店」着　経団連の今井敬名誉会長、御手洗冨士夫名誉会長ら財界人と会食
3/13	20:39	「東京吉兆　本店」発
3/13	21:01	私邸着
3/12	7:59	公邸発	
3/12	8:00	官邸着	
3/12	8:03	閣議（～8:12）	
3/12	8:50	西村官房副長官と面会（～10:20）	
3/12	11:12	谷内正太郎国家安全保障局長、北村滋内閣情報官と面会（～11:19）	
3/12	11:20	北村内閣情報官と面会（～11:40）	
3/12	11:41	日本財団の笹川陽平会長と面会（～11:55）	
3/12	12:09	政府与党連絡会議に出席（～12:29）	
3/12	12:31	茂木経済再生担当大臣と面会（～12:56）	
3/12	13:20	官邸発	
3/12	13:21	国会着	
3/12	13:23	衆議院本会議場に入り、本会議に出席	
3/12	13:24	自民党の髙木毅衆議院議員と話す（～13:26）	
3/12	13:28	根本厚生労働大臣と話す（～13:29）	
3/12	15:46	衆議院本会議が散会し、本会議場を出る	
3/12	15:48	国会発	
3/12	15:50	官邸着	
3/12	16:05	スイスでの「ダボス会議」を主催する、世界経済フォーラムのクラウス・シュワブ会長らと面会　外務省の山上信吾経済局長が同席（～16:25）	
3/12	16:30	国際司法裁判所の岩沢雄司裁判官と面会（～16:35）	
3/12	16:36	外務省の秋葉剛男事務次官、金杉憲治アジア大洋州局長と面会（～16:46）	
3/12	16:47	外務省の秋葉事務次官と面会（～16:58）	
3/12	17:01	北朝鮮の拉致被害者の地村保志さんと面会　日朝首脳会談を早期に実現し、すべての拉致被害者の帰国を図るよう要望されたのに対し、先の米朝首脳会談で拉致問題が取り上げられたことなどを説明し、解決に全力を尽くす考えを強調（～17:13）	
3/12	18:02	官邸発	
3/12	18:11	東京・千代田区の「パレスホテル東京」着　ホテル内の宴会場「葵」で、京都大学特別教授の本庶佑さんのノーベル医学・生理学賞の受賞を祝う記念講演会・晩餐会に出席し、あいさつ	
3/12	18:20	「パレスホテル東京」発	
3/12	18:27	官邸着	
3/12	18:47	官邸発	
3/12	18:56	東京・銀座のステーキ店「かわむら」着　麻生副総理兼財務大臣、自民党の二階幹事長、森山国会対策委員長、甘利選挙対策委員長、萩生田光一幹事長代行、河村建夫衆議院議員と会食	夕食
3/12	21:10	ステーキ店発	
3/12	21:30	東京・富ヶ谷の私邸着
3/11	9:10	東京・富ヶ谷の私邸発	
3/11	9:26	官邸着	
3/11	10:55	石原慎太郎元東京都知事、亀井静香元自民党政務調査会長と面会（～11:56）	
3/11	11:57	麻生副総理兼財務大臣、財務省の浅川雅嗣財務官、武内良樹国際局長と面会（～12:17）	
3/11	14:11	官邸発	
3/11	14:16	東京・千代田区の国立劇場着	
3/11	14:42	東日本大震災八周年追悼式に出席し、式辞を述べる	
3/11	15:36	国立劇場発	
3/11	15:41	官邸着	
3/11	15:54	内閣府の大塚幸寛賞勲局長と面会（～16:10）	
3/11	16:57	官邸発	
3/11	16:59	国会着	
3/11	17:00	国会内の自民党総裁室に入る　自民党役員会に出席（～17:31)	
3/11	17:36	自民党総裁室を出て、国会内の総理大臣室に入る 自民党の中央政治大学院の学生らと写真撮影	
3/11	17:42	総理大臣室を出る	
3/11	17:43	国会発	
3/11	17:45	官邸着	
3/11	17:55	自民党の岸田政務調査会長、新藤義孝会長代理、木原誠二副会長と面会（～18:25）	
3/11	18:34	官邸発	
3/11	18:35	公邸着 自民党の関口昌一参議院国会対策委員長や公明党の石川博崇参議院国会対策委員長らと会食（～19:57） そのまま公邸泊	○
3/10	9:00	午前中は来客なく、東京・富ヶ谷の私邸で過ごす	
3/10	14:47	私邸発	
3/10	14:57	東京・渋谷の美容室「HAIR　GUEST」着　散髪	
3/10	16:36	美容室「HAIR　GUEST」発	
